Name Math Java DS Average Total
张三0 76 64 86 75 226
张三1 95 54 52 67 201
张三2 71 94 90 85 255
张三3 90 84 73 82 247
张三4 99 95 57 83 251
张三5 88 51 59 66 198
张三6 57 91 71 73 219
张三7 95 64 78 79 237
张三8 75 95 50 73 220
张三9 97 79 97 91 273
张三10 82 59 58 66 199
张三11 68 93 73 78 234
张三12 95 95 98 96 288
张三13 80 56 85 73 221
张三14 80 96 87 87 263
张三15 81 78 52 70 211
张三16 62 60 92 71 214
张三17 78 83 79 80 240
张三18 90 50 98 79 238
张三19 75 75 62 70 212
张三20 55 67 74 65 196
张三21 79 71 77 75 227
张三22 65 85 90 80 240
张三23 78 69 70 72 217
张三24 55 52 56 54 163
